t_ms,clip_id,ax,ay,az,gx,gy,gz,label
3700,1,-0.04248,0.005127,1.021729,1.037598,1.037598,1.037598,quieto_mesa
3710,1,-0.042114,0.004517,1.021606,0.915527,0.976562,0.854492,quieto_mesa
3721,1,-0.042725,0.003418,1.021362,0.915527,1.037598,0.976562,quieto_mesa
3730,1,-0.042358,0.003906,1.021484,1.037598,0.915527,0.915527,quieto_mesa
3740,1,-0.041748,0.00415,1.021729,1.037598,1.037598,0.976562,quieto_mesa
3751,1,-0.042358,0.004395,1.021973,1.037598,0.976562,1.037598,quieto_mesa
3770,1,-0.04248,0.003296,1.023193,1.159668,0.976562,1.037598,quieto_mesa
3781,1,-0.041992,0.004272,1.021606,1.159668,0.915527,0.915527,quieto_mesa
3791,1,-0.04187,0.003784,1.022461,1.098633,0.915527,1.037598,quieto_mesa
3801,1,-0.042114,0.002563,1.022461,1.098633,1.037598,1.098633,quieto_mesa
3810,1,-0.042603,0.003906,1.021729,1.159668,1.037598,1.037598,quieto_mesa
3821,1,-0.043213,0.003662,1.021729,1.098633,1.037598,1.037598,quieto_mesa
3831,1,-0.042847,0.00415,1.021851,1.037598,0.915527,1.037598,quieto_mesa
3841,1,-0.04248,0.003662,1.022339,1.098633,0.915527,1.037598,quieto_mesa
3851,1,-0.041992,0.00415,1.023315,1.098633,1.037598,0.915527,quieto_mesa
3861,1,-0.041626,0.00415,1.021118,0.915527,0.915527,0.915527,quieto_mesa
3871,1,-0.042358,0.003906,1.021973,1.037598,1.037598,0.976562,quieto_mesa
3881,1,-0.041504,0.004883,1.022583,1.159668,0.976562,1.098633,quieto_mesa
3891,1,-0.042847,0.00415,1.021973,0.976562,1.037598,1.098633,quieto_mesa
3901,1,-0.042236,0.004272,1.021362,0.976562,0.976562,0.976562,quieto_mesa
3911,1,-0.042358,0.003906,1.022583,1.037598,0.915527,1.159668,quieto_mesa
3931,1,-0.042358,0.004395,1.022461,1.098633,1.098633,0.854492,quieto_mesa
3941,1,-0.042725,0.004639,1.022583,0.915527,0.915527,0.976562,quieto_mesa
3951,1,-0.042725,0.003784,1.021973,1.037598,1.098633,1.037598,quieto_mesa
3961,1,-0.04248,0.003784,1.023315,1.037598,1.037598,1.037598,quieto_mesa
3971,1,-0.04187,0.004272,1.021973,0.915527,0.915527,0.976562,quieto_mesa
3981,1,-0.042236,0.00354,1.021606,0.976562,0.854492,0.915527,quieto_mesa
3991,1,-0.042236,0.003906,1.021851,0.976562,0.854492,0.976562,quieto_mesa
4002,1,-0.042236,0.003784,1.021729,1.037598,0.976562,1.037598,quieto_mesa
4011,1,-0.041626,0.004517,1.020752,0.915527,0.976562,1.098633,quieto_mesa
4021,1,-0.043091,0.004272,1.020386,1.037598,1.037598,0.915527,quieto_mesa
4031,1,-0.041382,0.003784,1.021606,1.098633,0.915527,0.976562,quieto_mesa
4041,1,-0.041626,0.003784,1.021484,0.976562,0.915527,0.915527,quieto_mesa
4051,1,-0.042847,0.003784,1.022339,0.915527,0.976562,0.671387,quieto_mesa
4061,1,-0.043213,0.004028,1.021362,0.976562,0.854492,0.854492,quieto_mesa
4072,1,-0.042847,0.00415,1.02124,0.976562,1.098633,0.854492,quieto_mesa
4093,1,-0.042603,0.003906,1.021606,1.037598,0.976562,0.976562,quieto_mesa
4103,1,-0.042603,0.00415,1.021851,1.098633,1.037598,1.037598,quieto_mesa
4112,1,-0.042603,0.003662,1.021484,1.159668,0.976562,0.976562,quieto_mesa
