t_ms,clip_id,ax,ay,az,gx,gy,gz,label
18987,1,0.475586,-0.671875,0.029053,-35.949707,-7.568359,2.075195,circulos
18999,1,0.48584,-0.687988,0.040039,-32.836914,-12.512207,7.8125,circulos
19010,1,0.507446,-0.677856,0.051514,-30.212402,-15.563965,11.413574,circulos
19021,1,0.541016,-0.650024,0.061035,-27.526855,-17.822266,15.441895,circulos
19032,1,0.609009,-0.579102,0.077637,-25.939941,-19.104004,19.836426,circulos
19043,1,0.626221,-0.561401,0.078613,-27.587891,-18.493652,19.897461,circulos
19054,1,0.641846,-0.564331,0.084229,-29.35791,-17.822266,19.104004,circulos
19066,1,0.664917,-0.598145,0.110229,-30.761719,-18.737793,16.723633,circulos
19077,1,0.673584,-0.617676,0.123535,-29.785156,-19.65332,15.930176,circulos
19088,1,0.685181,-0.619263,0.138306,-27.648926,-21.118164,16.174316,circulos
19097,1,0.719971,-0.588257,0.157471,-22.766113,-21.789551,18.493652,circulos
19107,1,0.73291,-0.577148,0.168091,-20.324707,-21.30127,19.165039,circulos
19117,1,0.751831,-0.556763,0.175293,-18.127441,-21.118164,19.958496,circulos
19126,1,0.766479,-0.545166,0.188354,-16.479492,-21.606445,20.446777,circulos
19135,1,0.786987,-0.539795,0.205444,-15.686035,-21.057129,20.507812,circulos
19145,1,0.786865,-0.537598,0.208984,-15.869141,-19.40918,20.019531,circulos
19154,1,0.774658,-0.540283,0.207031,-15.74707,-18.005371,17.822266,circulos
19164,1,0.771606,-0.563965,0.206665,-14.648438,-20.080566,11.779785,circulos
19174,1,0.786743,-0.605835,0.23999,-11.535645,-22.644043,10.620117,circulos
19184,1,0.803467,-0.615967,0.264404,-9.58252,-23.925781,10.192871,circulos
19196,1,0.817749,-0.613525,0.292603,-7.873535,-23.4375,10.009766,circulos
19207,1,0.824219,-0.621582,0.310913,-6.225586,-21.54541,10.192871,circulos
19218,1,0.817871,-0.635132,0.306519,-2.746582,-16.540527,12.817383,circulos
19229,1,0.816528,-0.641968,0.294067,-1.525879,-15.197754,13.916016,circulos
19241,1,0.802246,-0.672729,0.273315,-0.549316,-15.625,13.977051,circulos
19251,1,0.824219,-0.717529,0.275757,3.112793,-21.30127,18.249512,circulos
19262,1,0.843628,-0.709229,0.277222,4.516602,-22.888184,20.874023,circulos
19273,1,0.865356,-0.696533,0.292725,5.737305,-23.31543,21.911621,circulos
19283,1,0.880859,-0.685791,0.301147,6.774902,-22.155762,23.4375,circulos
19294,1,0.902832,-0.671631,0.318726,7.141113,-21.484375,23.620605,circulos
19304,1,0.927368,-0.665771,0.331787,7.873535,-20.935059,24.291992,circulos
19317,1,0.935791,-0.661621,0.342285,9.399414,-19.958496,25.20752,circulos
19327,1,0.940918,-0.649902,0.348633,14.831543,-16.845703,23.742676,circulos
19338,1,0.922607,-0.632446,0.337646,17.51709,-15.686035,22.827148,circulos
19350,1,0.918579,-0.614502,0.329468,20.263672,-15.197754,22.338867,circulos
19360,1,0.914551,-0.571167,0.318481,22.521973,-15.258789,23.010254,circulos
19370,1,0.918579,-0.549683,0.306396,22.155762,-15.075684,23.193359,circulos
19380,1,0.927124,-0.524048,0.29187,21.057129,-14.892578,23.4375,circulos
19391,1,0.93457,-0.49585,0.272095,19.104004,-15.197754,23.681641,circulos
19401,1,0.931885,-0.469604,0.251709,17.822266,-16.113281,19.592285,circulos
19412,1,0.947021,-0.475708,0.257568,17.944336,-18.493652,16.418457,circulos
19423,1,0.950806,-0.496338,0.28125,17.883301,-19.042969,14.221191,circulos
19433,1,0.950439,-0.515015,0.299805,18.554687,-18.066406,12.695313,circulos
19443,1,0.934204,-0.542725,0.311646,23.31543,-17.333984,13.366699,circulos
19453,1,0.958008,-0.511841,0.318237,27.22168,-16.662598,14.770508,circulos
19463,1,0.973267,-0.50061,0.316772,30.090332,-14.587402,15.74707,circulos
19474,1,0.976807,-0.496704,0.310059,31.005859,-11.84082,15.991211,circulos
19485,1,0.971313,-0.494263,0.307251,30.700684,-9.216309,16.113281,circulos
19496,1,0.969116,-0.492187,0.285034,29.724121,-5.615234,17.456055,circulos
19507,1,0.9729,-0.496582,0.276855,29.663086,-4.272461,18.066406,circulos
19519,1,0.973022,-0.492432,0.268433,29.602051,-3.601074,18.737793,circulos
19530,1,0.990967,-0.4729,0.262207,31.005859,-3.601074,19.165039,circulos
19541,1,0.996094,-0.469849,0.262939,31.860352,-3.295898,18.615723,circulos
19552,1,0.996338,-0.482666,0.266724,32.714844,-3.112793,17.883301,circulos
19563,1,1.021973,-0.529785,0.287598,36.743164,-3.295898,17.333984,circulos
19574,1,1.038696,-0.522827,0.292969,37.963867,-1.77002,19.226074,circulos
19585,1,1.054443,-0.504395,0.295166,37.353516,0.0,21.850586,circulos
19597,1,1.060913,-0.491699,0.291504,34.057617,4.02832,26.367187,circulos
19608,1,1.051636,-0.473267,0.2677,33.02002,6.103516,27.709961,circulos
19619,1,1.054688,-0.450317,0.250488,33.38623,7.995605,28.137207,circulos
19630,1,1.064819,-0.432373,0.24231,34.606934,11.352539,26.245117,circulos
19641,1,1.086548,-0.380493,0.227783,34.790039,13.305664,24.658203,circulos
19652,1,1.094116,-0.354248,0.229492,34.851074,15.136719,22.277832,circulos
19663,1,1.099487,-0.343872,0.225952,34.790039,17.456055,19.470215,circulos
19674,1,1.096802,-0.334839,0.228882,35.400391,20.874023,15.075684,circulos
19684,1,1.092163,-0.327637,0.228516,36.682129,21.42334,13.73291,circulos
19695,1,1.090698,-0.314941,0.221191,37.414551,21.789551,12.451172,circulos
19706,1,1.089355,-0.301392,0.209717,35.888672,24.047852,10.742188,circulos
19717,1,1.072266,-0.282593,0.189941,34.301758,25.57373,10.253906,circulos
19728,1,1.064087,-0.268799,0.175781,32.592773,27.404785,10.437012,circulos
19739,1,1.050537,-0.248901,0.159668,30.700684,29.052734,10.375977,circulos
19750,1,1.020508,-0.223511,0.120483,27.893066,30.151367,7.385254,circulos
19761,1,1.015137,-0.219604,0.102173,27.099609,29.968262,4.943848,circulos
19772,1,1.01123,-0.223022,0.08313,25.939941,30.029297,2.197266,circulos
19783,1,0.998657,-0.221191,0.04895,22.094727,30.212402,-1.525879,circulos
19794,1,0.98999,-0.21875,0.03894,19.042969,29.785156,-2.380371,circulos
19805,1,0.984253,-0.21936,0.032104,15.625,28.991699,-2.746582,circulos
19816,1,0.981201,-0.220703,0.027954,8.972168,27.038574,-2.685547,circulos
19828,1,0.990723,-0.229126,0.032593,5.92041,25.32959,-2.13623,circulos
